species,island,sex,year,measurement,value
Adelie,Torgersen,male,2007,bill_length_mm,39.1
Adelie,Torgersen,male,2007,bill_depth_mm,18.7
Adelie,Torgersen,male,2007,flipper_length_mm,181
Adelie,Torgersen,male,2007,body_mass_g,3750
Adelie,Torgersen,female,2007,bill_length_mm,39.5
Adelie,Torgersen,female,2007,bill_depth_mm,17.4
Adelie,Torgersen,female,2007,flipper_length_mm,186
Adelie,Torgersen,female,2007,body_mass_g,3800
Adelie,Torgersen,female,2007,bill_length_mm,40.3
Adelie,Torgersen,female,2007,bill_depth_mm,18
Adelie,Torgersen,female,2007,flipper_length_mm,195
Adelie,Torgersen,female,2007,body_mass_g,3250
Adelie,Torgersen,NA,2007,bill_length_mm,NA
Adelie,Torgersen,NA,2007,bill_depth_mm,NA
Adelie,Torgersen,NA,2007,flipper_length_mm,NA
Adelie,Torgersen,NA,2007,body_mass_g,NA
Adelie,Torgersen,female,2007,bill_length_mm,36.7
Adelie,Torgersen,female,2007,bill_depth_mm,19.3
Adelie,Torgersen,female,2007,flipper_length_mm,193
Adelie,Torgersen,female,2007,body_mass_g,3450
Adelie,Torgersen,male,2007,bill_length_mm,39.3
Adelie,Torgersen,male,2007,bill_depth_mm,20.6
Adelie,Torgersen,male,2007,flipper_length_mm,190
Adelie,Torgersen,male,2007,body_mass_g,3650
Adelie,Torgersen,female,2007,bill_length_mm,38.9
Adelie,Torgersen,female,2007,bill_depth_mm,17.8
Adelie,Torgersen,female,2007,flipper_length_mm,181
Adelie,Torgersen,female,2007,body_mass_g,3625
Adelie,Torgersen,male,2007,bill_length_mm,39.2
Adelie,Torgersen,male,2007,bill_depth_mm,19.6
Adelie,Torgersen,male,2007,flipper_length_mm,195
Adelie,Torgersen,male,2007,body_mass_g,4675
Adelie,Torgersen,NA,2007,bill_length_mm,34.1
Adelie,Torgersen,NA,2007,bill_depth_mm,18.1
Adelie,Torgersen,NA,2007,flipper_length_mm,193
Adelie,Torgersen,NA,2007,body_mass_g,3475
Adelie,Torgersen,NA,2007,bill_length_mm,42
Adelie,Torgersen,NA,2007,bill_depth_mm,20.2
Adelie,Torgersen,NA,2007,flipper_length_mm,190
Adelie,Torgersen,NA,2007,body_mass_g,4250
Adelie,Torgersen,NA,2007,bill_length_mm,37.8
Adelie,Torgersen,NA,2007,bill_depth_mm,17.1
Adelie,Torgersen,NA,2007,flipper_length_mm,186
Adelie,Torgersen,NA,2007,body_mass_g,3300
Adelie,Torgersen,NA,2007,bill_length_mm,37.8
Adelie,Torgersen,NA,2007,bill_depth_mm,17.3
Adelie,Torgersen,NA,2007,flipper_length_mm,180
Adelie,Torgersen,NA,2007,body_mass_g,3700
Adelie,Torgersen,female,2007,bill_length_mm,41.1
Adelie,Torgersen,female,2007,bill_depth_mm,17.6
Adelie,Torgersen,female,2007,flipper_length_mm,182
Adelie,Torgersen,female,2007,body_mass_g,3200
Adelie,Torgersen,male,2007,bill_length_mm,38.6
Adelie,Torgersen,male,2007,bill_depth_mm,21.2
Adelie,Torgersen,male,2007,flipper_length_mm,191
Adelie,Torgersen,male,2007,body_mass_g,3800
Adelie,Torgersen,male,2007,bill_length_mm,34.6
Adelie,Torgersen,male,2007,bill_depth_mm,21.1
Adelie,Torgersen,male,2007,flipper_length_mm,198
Adelie,Torgersen,male,2007,body_mass_g,4400
Adelie,Torgersen,female,2007,bill_length_mm,36.6
Adelie,Torgersen,female,2007,bill_depth_mm,17.8
Adelie,Torgersen,female,2007,flipper_length_mm,185
Adelie,Torgersen,female,2007,body_mass_g,3700
Adelie,Torgersen,female,2007,bill_length_mm,38.7
Adelie,Torgersen,female,2007,bill_depth_mm,19
Adelie,Torgersen,female,2007,flipper_length_mm,195
Adelie,Torgersen,female,2007,body_mass_g,3450
Adelie,Torgersen,male,2007,bill_length_mm,42.5
Adelie,Torgersen,male,2007,bill_depth_mm,20.7
Adelie,Torgersen,male,2007,flipper_length_mm,197
Adelie,Torgersen,male,2007,body_mass_g,4500
Adelie,Torgersen,female,2007,bill_length_mm,34.4
Adelie,Torgersen,female,2007,bill_depth_mm,18.4
Adelie,Torgersen,female,2007,flipper_length_mm,184
Adelie,Torgersen,female,2007,body_mass_g,3325
Adelie,Torgersen,male,2007,bill_length_mm,46
Adelie,Torgersen,male,2007,bill_depth_mm,21.5
Adelie,Torgersen,male,2007,flipper_length_mm,194
Adelie,Torgersen,male,2007,body_mass_g,4200
Adelie,Biscoe,female,2007,bill_length_mm,37.8
Adelie,Biscoe,female,2007,bill_depth_mm,18.3
Adelie,Biscoe,female,2007,flipper_length_mm,174
Adelie,Biscoe,female,2007,body_mass_g,3400
Adelie,Biscoe,male,2007,bill_length_mm,37.7
Adelie,Biscoe,male,2007,bill_depth_mm,18.7
Adelie,Biscoe,male,2007,flipper_length_mm,180
Adelie,Biscoe,male,2007,body_mass_g,3600
Adelie,Biscoe,female,2007,bill_length_mm,35.9
Adelie,Biscoe,female,2007,bill_depth_mm,19.2
Adelie,Biscoe,female,2007,flipper_length_mm,189
Adelie,Biscoe,female,2007,body_mass_g,3800
Adelie,Biscoe,male,2007,bill_length_mm,38.2
Adelie,Biscoe,male,2007,bill_depth_mm,18.1
Adelie,Biscoe,male,2007,flipper_length_mm,185
Adelie,Biscoe,male,2007,body_mass_g,3950
Adelie,Biscoe,male,2007,bill_length_mm,38.8
Adelie,Biscoe,male,2007,bill_depth_mm,17.2
Adelie,Biscoe,male,2007,flipper_length_mm,180
Adelie,Biscoe,male,2007,body_mass_g,3800
Adelie,Biscoe,female,2007,bill_length_mm,35.3
Adelie,Biscoe,female,2007,bill_depth_mm,18.9
Adelie,Biscoe,female,2007,flipper_length_mm,187
Adelie,Biscoe,female,2007,body_mass_g,3800
Adelie,Biscoe,male,2007,bill_length_mm,40.6
Adelie,Biscoe,male,2007,bill_depth_mm,18.6
Adelie,Biscoe,male,2007,flipper_length_mm,183
Adelie,Biscoe,male,2007,body_mass_g,3550
Adelie,Biscoe,female,2007,bill_length_mm,40.5
Adelie,Biscoe,female,2007,bill_depth_mm,17.9
Adelie,Biscoe,female,2007,flipper_length_mm,187
Adelie,Biscoe,female,2007,body_mass_g,3200
Adelie,Biscoe,female,2007,bill_length_mm,37.9
Adelie,Biscoe,female,2007,bill_depth_mm,18.6
Adelie,Biscoe,female,2007,flipper_length_mm,172
Adelie,Biscoe,female,2007,body_mass_g,3150
Adelie,Biscoe,male,2007,bill_length_mm,40.5
Adelie,Biscoe,male,2007,bill_depth_mm,18.9
Adelie,Biscoe,male,2007,flipper_length_mm,180
Adelie,Biscoe,male,2007,body_mass_g,3950
Adelie,Dream,female,2007,bill_length_mm,39.5
Adelie,Dream,female,2007,bill_depth_mm,16.7
Adelie,Dream,female,2007,flipper_length_mm,178
Adelie,Dream,female,2007,body_mass_g,3250
Adelie,Dream,male,2007,bill_length_mm,37.2
Adelie,Dream,male,2007,bill_depth_mm,18.1
Adelie,Dream,male,2007,flipper_length_mm,178
Adelie,Dream,male,2007,body_mass_g,3900
Adelie,Dream,female,2007,bill_length_mm,39.5
Adelie,Dream,female,2007,bill_depth_mm,17.8
Adelie,Dream,female,2007,flipper_length_mm,188
Adelie,Dream,female,2007,body_mass_g,3300
Adelie,Dream,male,2007,bill_length_mm,40.9
Adelie,Dream,male,2007,bill_depth_mm,18.9
Adelie,Dream,male,2007,flipper_length_mm,184
Adelie,Dream,male,2007,body_mass_g,3900
Adelie,Dream,female,2007,bill_length_mm,36.4
Adelie,Dream,female,2007,bill_depth_mm,17
Adelie,Dream,female,2007,flipper_length_mm,195
Adelie,Dream,female,2007,body_mass_g,3325
Adelie,Dream,male,2007,bill_length_mm,39.2
Adelie,Dream,male,2007,bill_depth_mm,21.1
Adelie,Dream,male,2007,flipper_length_mm,196
Adelie,Dream,male,2007,body_mass_g,4150
Adelie,Dream,male,2007,bill_length_mm,38.8
Adelie,Dream,male,2007,bill_depth_mm,20
Adelie,Dream,male,2007,flipper_length_mm,190
Adelie,Dream,male,2007,body_mass_g,3950
Adelie,Dream,female,2007,bill_length_mm,42.2
Adelie,Dream,female,2007,bill_depth_mm,18.5
Adelie,Dream,female,2007,flipper_length_mm,180
Adelie,Dream,female,2007,body_mass_g,3550
Adelie,Dream,female,2007,bill_length_mm,37.6
Adelie,Dream,female,2007,bill_depth_mm,19.3
Adelie,Dream,female,2007,flipper_length_mm,181
Adelie,Dream,female,2007,body_mass_g,3300
Adelie,Dream,male,2007,bill_length_mm,39.8
Adelie,Dream,male,2007,bill_depth_mm,19.1
Adelie,Dream,male,2007,flipper_length_mm,184
Adelie,Dream,male,2007,body_mass_g,4650
Adelie,Dream,female,2007,bill_length_mm,36.5
Adelie,Dream,female,2007,bill_depth_mm,18
Adelie,Dream,female,2007,flipper_length_mm,182
Adelie,Dream,female,2007,body_mass_g,3150
Adelie,Dream,male,2007,bill_length_mm,40.8
Adelie,Dream,male,2007,bill_depth_mm,18.4
Adelie,Dream,male,2007,flipper_length_mm,195
Adelie,Dream,male,2007,body_mass_g,3900
Adelie,Dream,female,2007,bill_length_mm,36
Adelie,Dream,female,2007,bill_depth_mm,18.5
Adelie,Dream,female,2007,flipper_length_mm,186
Adelie,Dream,female,2007,body_mass_g,3100
Adelie,Dream,male,2007,bill_length_mm,44.1
Adelie,Dream,male,2007,bill_depth_mm,19.7
Adelie,Dream,male,2007,flipper_length_mm,196
Adelie,Dream,male,2007,body_mass_g,4400
Adelie,Dream,female,2007,bill_length_mm,37
Adelie,Dream,female,2007,bill_depth_mm,16.9
Adelie,Dream,female,2007,flipper_length_mm,185
Adelie,Dream,female,2007,body_mass_g,3000
Adelie,Dream,male,2007,bill_length_mm,39.6
Adelie,Dream,male,2007,bill_depth_mm,18.8
Adelie,Dream,male,2007,flipper_length_mm,190
Adelie,Dream,male,2007,body_mass_g,4600
Adelie,Dream,male,2007,bill_length_mm,41.1
Adelie,Dream,male,2007,bill_depth_mm,19
Adelie,Dream,male,2007,flipper_length_mm,182
Adelie,Dream,male,2007,body_mass_g,3425
Adelie,Dream,NA,2007,bill_length_mm,37.5
Adelie,Dream,NA,2007,bill_depth_mm,18.9
Adelie,Dream,NA,2007,flipper_length_mm,179
Adelie,Dream,NA,2007,body_mass_g,2975
Adelie,Dream,female,2007,bill_length_mm,36
Adelie,Dream,female,2007,bill_depth_mm,17.9
Adelie,Dream,female,2007,flipper_length_mm,190
Adelie,Dream,female,2007,body_mass_g,3450
Adelie,Dream,male,2007,bill_length_mm,42.3
Adelie,Dream,male,2007,bill_depth_mm,21.2
Adelie,Dream,male,2007,flipper_length_mm,191
Adelie,Dream,male,2007,body_mass_g,4150
Adelie,Biscoe,female,2008,bill_length_mm,39.6
Adelie,Biscoe,female,2008,bill_depth_mm,17.7
Adelie,Biscoe,female,2008,flipper_length_mm,186
Adelie,Biscoe,female,2008,body_mass_g,3500
Adelie,Biscoe,male,2008,bill_length_mm,40.1
